pid,artist,label,_date,source
tafel1,Karel Trinkewitz,Selbstporträt Karel Trinkewitz (1975/76),1975/76," „Collagen und Objekte“, (Hamburg 1989, S. 24)."
tafel2,Karel Trinkewitz,Sakko für Jiří Kolář (1983),1983," „Das Leben ist eine Collage“, (Praha 1999, S. 39), © Helga Umland-Trinkewitz."
tafel3,Karel Trinkewitz,Haiku-Band (1970er Jahre),1970er Jahre,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel4,Karel Trinkewitz,Band mit Haiku-Übersetzungen (1963–1965),1963–1965,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel5,Karel Trinkewitz,Haiku-Blätter ohne Titel (o.J.),o.J.,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel6,Karel Trinkewitz,Prag-Band (1970er Jahre),1970er Jahre,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel7,Karel Trinkewitz,Tagebucheintrag vom 9. Februar 1965,9. Februar 1965,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel7_1,Karel Trinkewitz,Haibun. Reise nach Saarbrücken vom 23. Februar 1985,23. Februar 1985,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel8,Karel Trinkewitz,Collage „Text für Felix Nussbaum“ (o.J.),o.J.,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel8_1,Karel Trinkewitz,Collage „Rabbi Löw“ (o.J.),o.J.,"Karel Trinkewitz, „Das Leben ist eine Collage“, (Praha 1999, S. 95)."
tafel9,Karel Trinkewitz,Collagen ohne Titel (o.J.),o.J.,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel10,Karel Trinkewitz,"Bild-Haikus ohne Titel (o.J.)",o.J.,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel11,Karel Trinkewitz,"Dankesrede „Garel Kot“ (o.J.)
",o.J.,"Archiv Forschungsstelle Osteuropa Bremen, Nachlass Trinkewitz,
FSO 2–060."
tafel12,Karel Trinkewitz,"Sperrmülltag an der Holsteiner Chaussee (1983)
",1983,"Karel Trinkewitz, „Das Leben ist eine Collage“, (Praha 1999, S. 95)."
tafel13,Karel Trinkewitz,Steine (o.J.),o.J.,"Karel Trinkewitz, „Das Leben ist eine Collage“, (Praha 1999, S. 95)."
